"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2746","Verify that products can be sorted by name descending","","Fri Oct 24 10:22:21 UTC 2025","passed","Fri Oct 24 10:22:24 UTC 2025","","Mobile - Sort Goods Tests","",""
"","199","Verify that error is returned when too long category name","","Fri Oct 24 10:21:39 UTC 2025","passed","Fri Oct 24 10:21:40 UTC 2025","","API - Create Pet Negative Tests","",""
"","357","Verify that error is returned when missing photo urls","","Fri Oct 24 10:21:40 UTC 2025","passed","Fri Oct 24 10:21:40 UTC 2025","","API - Create Pet Negative Tests","",""
"","5278","Verify that error is shown when password is invalid","","Fri Oct 24 10:22:08 UTC 2025","passed","Fri Oct 24 10:22:14 UTC 2025","","Mobile - Login Negative Tests","",""
"","2532","Verify that products can be sorted by name ascending","","Fri Oct 24 10:22:19 UTC 2025","passed","Fri Oct 24 10:22:21 UTC 2025","","Mobile - Sort Goods Tests","",""
"","6169","Verify that error is shown when username is invalid","","Fri Oct 24 10:22:02 UTC 2025","passed","Fri Oct 24 10:22:08 UTC 2025","","Mobile - Login Negative Tests","",""
"","546","Verify that pet can be created successfully with valid data","","Fri Oct 24 10:21:38 UTC 2025","passed","Fri Oct 24 10:21:38 UTC 2025","","API - Create Pet Tests","",""
"","774","Verify that pet can be deleted successfully by ID","","Fri Oct 24 10:21:38 UTC 2025","passed","Fri Oct 24 10:21:39 UTC 2025","","API - Delete Pet Tests","",""
"","203","Verify that error is returned when invalid status","","Fri Oct 24 10:21:38 UTC 2025","passed","Fri Oct 24 10:21:39 UTC 2025","","API - Create Pet Negative Tests","",""
"","8263","Verify that error is shown when username is empty","","Fri Oct 24 10:21:47 UTC 2025","passed","Fri Oct 24 10:21:55 UTC 2025","","Mobile - Login Negative Tests","",""
"","726","Verify that pet can be retrieved successfully by ID","","Fri Oct 24 10:21:38 UTC 2025","passed","Fri Oct 24 10:21:38 UTC 2025","","API - Get Pet Tests","",""
"","7872","Verify that user can add product to cart and verify cart contents","","Fri Oct 24 10:21:41 UTC 2025","passed","Fri Oct 24 10:21:49 UTC 2025","","Mobile - Cart Tests","",""
"","2579","Verify that products can be sorted by price ascending","","Fri Oct 24 10:22:24 UTC 2025","passed","Fri Oct 24 10:22:27 UTC 2025","","Mobile - Sort Goods Tests","",""
"","391","Verify that error is returned when missing name","","Fri Oct 24 10:21:40 UTC 2025","passed","Fri Oct 24 10:21:40 UTC 2025","","API - Create Pet Negative Tests","",""
"","10740","Verify that user can login successfully with valid credentials","","Fri Oct 24 10:21:43 UTC 2025","passed","Fri Oct 24 10:21:54 UTC 2025","","Mobile - Login Tests","",""
"","153","Verify that error is returned when multiple validation errors","","Fri Oct 24 10:21:40 UTC 2025","passed","Fri Oct 24 10:21:40 UTC 2025","","API - Create Pet Negative Tests","",""
"","701","Verify that error is returned when too long name","","Fri Oct 24 10:21:39 UTC 2025","passed","Fri Oct 24 10:21:39 UTC 2025","","API - Create Pet Negative Tests","",""
"","525","Verify that error is returned when empty name","","Fri Oct 24 10:21:38 UTC 2025","passed","Fri Oct 24 10:21:38 UTC 2025","","API - Create Pet Negative Tests","",""
"","794","Verify that pet can be updated successfully with new data","","Fri Oct 24 10:21:38 UTC 2025","passed","Fri Oct 24 10:21:38 UTC 2025","","API - Update Pet Tests","",""
"","7157","Verify that error is shown when password is empty","","Fri Oct 24 10:21:55 UTC 2025","passed","Fri Oct 24 10:22:02 UTC 2025","","Mobile - Login Negative Tests","",""
"","2403","Verify that products can be sorted by price descending","","Fri Oct 24 10:22:27 UTC 2025","passed","Fri Oct 24 10:22:29 UTC 2025","","Mobile - Sort Goods Tests","",""
"","193","Verify that error is returned when empty photo urls","","Fri Oct 24 10:21:38 UTC 2025","passed","Fri Oct 24 10:21:38 UTC 2025","","API - Create Pet Negative Tests","",""
"","5326","Verify that error is shown when both credentials are invalid","","Fri Oct 24 10:22:14 UTC 2025","passed","Fri Oct 24 10:22:19 UTC 2025","","Mobile - Login Negative Tests","",""
